"ID","Key","Value"
"id-331a2386c6554a63b13e59c9cbce5574","Access_Type","Write"
"id-f180461dbb8949c7943e8ebb45373a72","Access_Type","Write"
"id-af3aa2a03de84688b82ebf86c9dfe1ce","Access_Type","Write"
"id-624ec2cf1b484855a432d8990ea0983f","Directed","false"
"id-7906862d9bd246e892b966b2410b2dc7","Directed","false"
"id-9467106ef2a246e3aeba1373ee40a149","Directed","false"
"id-ce26fda1843644a2a1cd33b9ee32d52b","Directed","false"
"id-f085183e7ee046c58ae92bd0ab1a94e0","Directed","false"
"id-622d0ccb3b5a42babfa568b42be1afec","Directed","false"
"id-35b8df6fdd864c878ca42c2e1639776a","Directed","false"
"id-380dabc745bc40d0912dab1e5bc51bc4","Access_Type","Write"
