"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-331a2386c6554a63b13e59c9cbce5574","AccessRelationship","","","id-b46cb04e2c6c409f974de765e1d85130","id-4339d8359e084cb4bd715208b48961cd",""
"id-f180461dbb8949c7943e8ebb45373a72","AccessRelationship","","","id-41582607ae7c4a6ca007acf64fb84bfe","id-061b5744e21d484594944adc0db3477f",""
"id-af3aa2a03de84688b82ebf86c9dfe1ce","AccessRelationship","","","id-8414e9eb31994491a7ece4a2b0257611","id-34a234ea575d492895b0ca2c7a49652b",""
"id-380dabc745bc40d0912dab1e5bc51bc4","AccessRelationship","","","id-222b7502460f4be3a6f60493fe11d115","id-5a53e56a5c0044568693ee1b2604f857",""
"id-4ee0bf4a5b31455f8a7578e5e4544a35","AssignmentRelationship","","","id-23459eeae5934bd2b9c7111f49d425f3","id-e95f3ca1172a47eebbc8c295b365c858",""
"id-fb23a32e7d4e4e579c0735c10c75ede0","AssignmentRelationship","","","id-3efff3bd93cb449d8c023c86e6986d60","id-2fdfdbd36a1748fbb282d7d3a6a47f91",""
"id-c2f7767f4d634a05802000ce0d01190d","AssignmentRelationship","","","id-2fdfdbd36a1748fbb282d7d3a6a47f91","id-fc67320e0cee4123aedb33032b922a78",""
"id-37bc69b9c4414168bc761dc02ace1f07","AssignmentRelationship","","","id-ca472bf7e7134e8b8a9dc3d86266fc09","id-6364ff1d573f41bc80a78f3f46b11379",""
"id-b1d4a701d396441d8b1524e01137814e","AssignmentRelationship","","","id-b09d22a586f545cfa3112cea854a4e8d","id-ca472bf7e7134e8b8a9dc3d86266fc09",""
"id-f90ff61afda2460896f742376a796bad","AssignmentRelationship","","","id-b09d22a586f545cfa3112cea854a4e8d","id-c0957f6b183c4272af0f3a66cf2af76a",""
"id-be03cce3f455499cb0857a15bce780e0","AssignmentRelationship","","","id-c0957f6b183c4272af0f3a66cf2af76a","id-a45e3f5c40644b7ba684abf18d01b58e",""
"id-ca0dfc8f9a364fca93b87440bf2d75f0","AssignmentRelationship","","","id-5bd5416ec0ff40f2bf35a6349076c804","id-123a7daa0a8f4fbd9e9af426da538919",""
"id-7c979bb2399145c48bee07fb70cf88d8","AssignmentRelationship","","","id-46e8d044853942f99d25db5a762490af","id-1278d58209a141dc9ec0b8d17e67bf1a",""
"id-14eae6cc61af4cb1bc0136ea205b3a78","AssignmentRelationship","","","id-8f8efb569c8944fda9d6dab0742aed7f","id-46e8d044853942f99d25db5a762490af",""
"id-e043d2bf5b504af5836dd88b0c0f9302","AssignmentRelationship","","","id-063e8d9816a144f49dec9de9c1425eb9","id-060e131ad3bf4d069695f1c95cd4cf2c",""
"id-b9263b35d3a1433993fd3c7b01ef507f","AssignmentRelationship","","","id-1617d1953dc34fd5a43bd731f94ac930","id-060e131ad3bf4d069695f1c95cd4cf2c",""
"id-8cf5f77846fb4ebdb10d23a2db60ed9a","AssignmentRelationship","","","id-79e25771e4ba48e7949c120b97b81b41","id-39fa85e78ac44e07acf623d7f6875195",""
"id-ec32e5deac2c42d1bfed4ca1941a5565","AssignmentRelationship","","","id-9d8c3f297e31472e99dfd6fd59805284","id-b87063a97e7b46bcb6aa3cb367f80866",""
"id-cadc2a8e709e4aaf88388935fbfcb19c","AssignmentRelationship","","","id-e94a37405a3a4255a0dc94a13814d228","id-9d8c3f297e31472e99dfd6fd59805284",""
